2021-03-31 01:38:47,830:'p':
2021-03-31 01:38:49,102:'r':
2021-03-31 01:38:49,215:'a':
2021-03-31 01:38:50,116:'d':
2021-03-31 01:38:50,490:'e':
2021-03-31 01:38:50,654:'e':
2021-03-31 01:38:51,349:'p':
2021-03-31 01:38:51,761:'r':
2021-03-31 01:38:51,896:'a':
2021-03-31 01:38:52,788:'j':
2021-03-31 01:38:57,586:'2':
2021-03-31 01:38:58,038:'1':
2021-03-31 01:39:06,476:'E':
2021-03-31 01:39:07,835:'t':
2021-03-31 01:39:08,096:'h':
2021-03-31 01:39:08,745:'i':
2021-03-31 01:39:09,099:'c':
2021-03-31 01:39:09,261:'a':
2021-03-31 01:39:09,589:'l':
2021-03-31 01:39:10,540:Key.shift:
2021-03-31 01:39:10,707:'H':
2021-03-31 01:39:11,149:'a':
2021-03-31 01:39:11,796:'c':
2021-03-31 01:39:12,054:'k':
2021-03-31 01:39:12,228:'i':
2021-03-31 01:39:12,461:'n':
2021-03-31 01:39:13,205:'g':
2021-03-31 01:42:19,540:Key.ctrl_l:
2021-03-31 01:42:20,046:Key.ctrl_l:
2021-03-31 01:42:20,077:Key.ctrl_l:
2021-03-31 01:42:20,106:Key.ctrl_l:
2021-03-31 01:42:20,136:Key.ctrl_l:
2021-03-31 01:42:20,167:Key.ctrl_l:
2021-03-31 01:42:20,197:Key.ctrl_l:
2021-03-31 01:42:20,227:Key.ctrl_l:
2021-03-31 01:42:20,258:Key.ctrl_l:
2021-03-31 01:42:20,701:Key.shift:
2021-03-31 01:42:21,202:Key.shift:
2021-03-31 01:42:21,232:Key.shift:
2021-03-31 01:42:21,262:Key.shift:
2021-03-31 01:42:21,292:Key.shift:
2021-03-31 01:42:21,323:Key.shift:
2021-03-31 01:42:21,353:Key.shift:
2021-03-31 01:42:21,384:Key.shift:
2021-03-31 01:42:21,414:Key.shift:
2021-03-31 01:42:21,444:Key.shift:
2021-03-31 01:42:21,475:Key.shift:
2021-03-31 01:42:21,505:Key.shift:
2021-03-31 01:42:21,534:Key.shift:
2021-03-31 01:42:21,565:Key.shift:
2021-03-31 01:42:21,596:Key.shift:
2021-03-31 01:42:21,626:Key.shift:
2021-03-31 01:42:21,657:Key.shift:
2021-03-31 01:42:21,687:Key.shift:
2021-03-31 01:42:21,717:Key.shift:
2021-03-31 01:42:21,748:Key.shift:
2021-03-31 01:42:21,778:Key.shift:
2021-03-31 01:42:21,807:Key.shift:
2021-03-31 01:42:21,838:Key.shift:
2021-03-31 01:42:21,868:Key.shift:
2021-03-31 01:42:21,899:Key.shift:
2021-03-31 01:42:21,929:Key.shift:
2021-03-31 01:42:21,959:Key.shift:
2021-03-31 01:42:21,989:Key.shift:
2021-03-31 01:42:22,019:Key.shift:
2021-03-31 01:42:22,049:Key.shift:
2021-03-31 01:42:22,080:Key.shift:
2021-03-31 01:42:22,111:Key.shift:
